,job_id,title,rating,company,reviews,salary,location,skills,from_date,min_experience
1778,1778,Associate Digital Marketing - Marketing Dice,0.0,Marketing Dice,0,0,Pune,"('Analytical skills', 'Proposal writing', 'Data analysis', 'Wordpress', 'Consulting', 'Client coordination', 'Consultancy', 'Digital marketing')",30+ Days,0
1779,1779,Tele caller,4.7,AVA Placement Services,4,0,"Noida, Delhi","('Help Desk', 'Customer Service', 'data analysis', 'customer relationship', 'access controls', 'Telephony support', 'Information', 'control')",30+ Days,0
1780,1780,Sales & Marketing Manager,0.0,Primohunt Corporate,0,0,Mumbai,"('Client development', 'Project sales', 'Data analysis', 'Customer satisfaction', 'Sales coordination', 'OEM', 'market data', 'RFQ')",30+ Days,0
1781,1781,Product Manager (Diabetic Product),0.0,Primohunt Corporate,0,0,New Delhi,"('Product launch', 'Training', 'Basic', 'Data analysis', 'Sales', 'Pharma', 'Market research', 'Sales training')",30+ Days,0
1782,1782,Manager- EHS Safety,0.0,Primohunt Corporate,0,0,Noida,"('Training', 'Data analysis', 'Industrial safety', 'Claims', 'Risk assessment', 'Safety management', 'Report writing', 'Occupational health')",30+ Days,0
1783,1783,Safety Officer,0.0,Primohunt Corporate,0,0,Pune,"('Training', 'Data analysis', 'Claims', 'Risk assessment', 'Safety management', 'Report writing', 'Occupational health', 'MS Office')",30+ Days,0
1784,1784,Sales & Marketing Engineer,0.0,Primohunt Corporate,0,0,Mumbai,"('Client development', 'Project sales', 'Data analysis', 'Mechatronics', 'Customer satisfaction', 'Sales coordination', 'OEM', 'market data')",30+ Days,0
1785,1785,Jr. Engineer Trainee,4.7,Quality Hr Services,17,0,Dadra & Nagar Haveli/Silvassa,"('Supervisor', 'Training', 'Engineer Trainee', 'Data analysis', 'Report writing', 'HR', 'Electricals', 'analysis')",30+ Days,0
1786,1786,QC Officer,4.7,Quality Hr Services,17,0,Vapi,"('QC', 'Data analysis', 'SAP', 'Kaizen', 'Quality systems', 'ISO TS 16949', 'Packaging', 'Manager Quality Control')",30+ Days,0
1787,1787,Graduate Engineer Trainee- Quality,4.7,Quality Hr Services,17,0,Vapi,"('Supervisor', 'Training', 'Engineer Trainee', 'Data analysis', 'Report writing', 'Mechanical', 'Instrumentation', 'HR')",30+ Days,0
1788,1788,GET/DET Sourcing,0.0,Right Step Consulting,0,0,Gurgaon,"('Help Desk', 'Customer Service', 'data analysis', 'customer relationship', 'access controls', 'Telephony support', 'Asset Management', 'Vendor Management')",30+ Days,0
1789,1789,Back Office Operation,0.0,Futurepro Global Outsourcing,0,0,Jaipur,"('BPO', 'Legal process outsourcing', 'Backend', 'Data analysis', 'PDF', 'Data management', 'Back office', 'Scheduling')",30+ Days,0
1790,1790,Human Resource Intern,1.7,Axiom Market Research &amp; Consulting,8,0,Pune,"('Administration', 'Data analysis', 'Intern', 'Share market', 'HR Intern', 'Consulting', 'Market research', 'HR')",30+ Days,0
1791,1791,Quality Engineer,4.7,Quality Hr Services,17,0,Vapi,"('Supervisor', 'Training', 'Data analysis', 'Report writing', 'Mechanical', 'HR', 'Electricals', 'analysis')",30+ Days,0
1792,1792,Summer Intern,4.4,Strelema,4,0,Pune,"('Data analysis', 'Team management', 'Campaign management', 'Event management', 'Process improvement', 'Market research', 'MS Office', 'Operations')",30+ Days,0
1793,1793,Product Manager International eCommerce,0.0,Winbold,0,0,Chennai,"('Product management', 'Market analysis', 'Data analysis', 'Analytical', 'Conceptualization', 'Electronics', 'E-commerce', 'market data')",30+ Days,0
1794,1794,Jr . Software Engineer,0.0,Bytestrone,0,0,Kochi/Cochin,"('jQuery', 'Front end', 'Coding', 'XML', 'MySQL', 'Agile', 'HTML', 'Apache')",30+ Days,0
1795,1795,Sales Marketing Engineer,0.0,kk Consulting Services,0,0,Mumbai,"('Data analysis', 'Mechatronics', 'Sales', 'Customer satisfaction', 'Automobile components', 'OEM', 'Schema', 'RFQ')",30+ Days,0
1796,1796,Content Writer,0.0,Taygete Software Solutions,0,0,Indore,"('Data analysis', 'SMO', 'HP data protector', 'Online marketing', 'Social media', 'Internet research', 'Content writing', 'Creative writing')",30+ Days,0
1797,1797,Chartered Accountant,4.2,Infilytics,3,0,Rajkot,"('Analytical skills', 'Manager Internal Audit', 'SAP', 'Excel', 'ECC', 'Risk control', 'Data analytics', 'Data Analyst')",30+ Days,0
1798,1798,Digital Marketing Specialist,0.0,Mycityindore,0,0,Indore,"('Data analysis', 'Email marketing', 'SEM', 'SEO', 'Digital marketing', 'CRM', 'Marketing', 'analysis')",30+ Days,0
1799,1799,Process Associate,3.1,ZACKS,94,200000,"Kolkata, West Bengal(Salt Lake)","('Internet Research', 'Web Research', 'Advanced Excel', 'Verbal Communication', 'Information Research', 'linkedin research', 'Secondary Research', 'Non Voice Process')",16 Days,0
1800,1800,Marketing Intern,3.4,Tridiagonal Solutions,30,0,Pune,"('Market analysis', 'Administration', 'Data analysis', 'Automation', 'Pharma', 'Social media', 'Market research', 'Digital marketing')",30+ Days,0
1801,1801,Process Associate,2.8,Xprezto,5,0,Delhi,"('Help Desk', 'Customer Service', 'data analysis', 'customer relationship', 'access controls', 'Telephony support', 'Vendor Management', 'Information')",30+ Days,0
1802,1802,Customer Care Officer,2.8,Xprezto,5,0,Delhi,"('Help Desk', 'Customer Service', 'data analysis', 'customer relationship', 'access controls', 'Telephony support', 'Vendor Management', 'Information')",30+ Days,0
1803,1803,Intern,0.0,Nethermind,0,0,Remote,"('C++', 'Linux', 'Technical writing', 'Data structures', 'Workflow', 'JSON', 'Open source', 'SDLC')",30+ Days,0
1804,1804,Copy Writer,0.0,Digitales Pr Medios,0,0,Mumbai,"('Data analysis', 'advertising agency', 'Technology management', 'Copy writing', 'Brand strategy', 'Social media', 'Corporate', 'Manager Technology')",30+ Days,0
1805,1805,DevOps Engineer,4.6,P S International HR Consultants,3,0,Mumbai,"('Automation', 'orchestration', 'data security', 'Analytical', 'Machine learning', 'Performance testing', 'data governance', 'Release management')",30+ Days,0
1806,1806,Deep Learning Engineer,4.6,P S International HR Consultants,3,0,Chennai,"('Computer vision', 'Automation', 'Image processing', 'Renewable energy', 'Artificial Intelligence', 'Machine learning', 'Application development', 'Analytics')",30+ Days,0
1807,1807,Marketing/ Sales Specialist,4.9,Shree Chaitanya International,3,200000,"Noida, Uttar Pradesh","('Email Marketing', 'B2B Sales', 'Competitor Analysis', 'B2B Marketing', 'Market Research And Analysis', 'Marketing Campaigns', 'Marketing Mix', 'Marketing')",17 Days,0
